projectName,age,status,yearOfEvent
gnutls,12,1,2012
alternc,9,1,2012
axis-java,11,1,2012
ontowiki,8,1,2012
quassel,6,1,2012
django-diario,5,1,2012
eclipse-gmp,7,1,2012
filebot,4,1,2012
dbix-class,7,1,2012
ror,4,1,2012
libusb,12,1,2012
android_gc,2,2,2012
xinetd,9,1,2012
django,7,1,2012
pango,15,1,2012
gunicorn,3,1,2012
pypy,9,1,2012
digikam,8,1,2012
rekonq,3,1,2012
opensolaris,6,1,2011
cpants,5,1,2012
flex-mojos,3,1,2011
homebrew,3,1,2012
FreeIPA,5,1,2012
mesa,13,1,2012
cobbler,6,1,2012
icewm,9,2,2009
gsoap,2,1,2012
ace,16,1,2012
mediawiki-widgets,4,1,2012
mksh,9,1,2012
boinc,7,1,2012
jhbuild,11,1,2012
cayenne,5,1,2012
GeSHi,7,1,2012
harmony,7,2,2012
gtksharp,11,1,2012
nfs,10,1,2008
notepad-plus,3,1,2012
jaxen,11,1,2012
watin,6,1,2012
facter,7,1,2012
gimp,15,1,2012
ubuntu,16,1,2012
compass,4,1,2012
jasperreports,8,1,2012
deki,6,1,2012
lighttpd,7,1,2012
pootle,6,1,2012
premake,9,1,2012
pdfbox,4,1,2012
kdevelop,13,1,2012
gtg,4,1,2012
petals,7,1,2012
MozillaCalendar,14,1,2012
github,1,2,2009
workrave,10,1,2012
geany-plugins,5,1,2012
thousand-parsec,9,2,2012
NHibernateContrib,4,2,2012
ffdshow,10,1,2012
mpc,10,1,2012
guava-libraries,3,1,2012
magento,4,1,2012
glazedlists,9,1,2012
ode,6,1,2012
EveHQ,4,1,2012
SharpDevelop,7,1,2012
giggle,5,1,2012
jsmpp,5,2,2012
pnp4nagios,3,1,2012
propel,7,1,2012
squashfs,7,1,2012
dovecot,10,1,2012
nette,6,1,2012
zookeeper,5,1,2012
nantcontrib,10,1,2012
banshee,7,1,2012
openstack-horizon,1,1,2012
suricata-engine,4,1,2012
linuxmint,3,1,2012
django-cms,3,1,2012
nagiosql,3,2,2011
wayland,11,1,2012
squirrel-sql,11,1,2012
opengrok,6,1,2012
stateless,3,2,2012
three20,3,1,2012
cfengine,4,1,2012
prado,7,1,2012
dcplusplus,8,2,2009
newsbeuter,6,1,2012
aspirerfid,4,1,2012
automake,20,1,2012
tvbrowser,9,1,2012
phing,6,1,2012
otrs,10,1,2012
jahia,3,1,2012
qtoctave,4,2,2012
springlobby,5,1,2012
Miro,7,1,2012
OrangeHRM,6,1,2012
zimbra,2,2,2008
gnupg,15,1,2012
pygame,12,1,2012
