rascal>exportFactsForAllProjects();
$2013-08-28T15:34:30.761+01:00   exportFactsForAllProject   Getting Ohloh facts for all projects from cache...
$2013-08-28T15:34:30.768+01:00   getValueFromCache   Updating value in cache for: OhlohFactsMap
$2013-08-28T15:34:31.094+01:00   getActivityFacts   WARNING error while getting activity facts for project: AE_AION_V2.
$2013-08-28T15:34:31.095+01:00   getSizeFacts   WARNING error while getting size facts for project: AE_AION_V2.
$2013-08-28T15:34:33.559+01:00   getActivityFacts   WARNING error while getting activity facts for project: AgiloforScrum.
$2013-08-28T15:34:33.560+01:00   getSizeFacts   WARNING error while getting size facts for project: AgiloforScrum.
$2013-08-28T15:34:33.563+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: AjaxTraceConsole.
$2013-08-28T15:34:35.997+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: ApacheFelix.
$2013-08-28T15:34:38.353+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: AutoWikiBrowser.
$2013-08-28T15:34:38.404+01:00   getActivityFacts   WARNING error while getting activity facts for project: Avira.
$2013-08-28T15:34:38.405+01:00   getSizeFacts   WARNING error while getting size facts for project: Avira.
$2013-08-28T15:34:39.241+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: BTthemes.
$2013-08-28T15:34:39.475+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Beedraz.
$2013-08-28T15:34:40.121+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Bongo.
$2013-08-28T15:34:40.123+01:00   getActivityFacts   WARNING error while getting activity facts for project: BootstrapTwitter.
$2013-08-28T15:34:40.123+01:00   getSizeFacts   WARNING error while getting size facts for project: BootstrapTwitter.
$2013-08-28T15:34:40.402+01:00   getActivityFacts   WARNING error while getting activity facts for project: BranchingGuidance.
$2013-08-28T15:34:40.402+01:00   getSizeFacts   WARNING error while getting size facts for project: BranchingGuidance.
$2013-08-28T15:34:40.404+01:00   getActivityFacts   WARNING error while getting activity facts for project: Browserstuff.
$2013-08-28T15:34:40.405+01:00   getSizeFacts   WARNING error while getting size facts for project: Browserstuff.
$2013-08-28T15:34:40.731+01:00   getActivityFacts   WARNING error while getting activity facts for project: CAPVQ.
$2013-08-28T15:34:40.731+01:00   getSizeFacts   WARNING error while getting size facts for project: CAPVQ.
$2013-08-28T15:34:40.842+01:00   getActivityFacts   WARNING error while getting activity facts for project: CCONVERTION.
$2013-08-28T15:34:40.842+01:00   getSizeFacts   WARNING error while getting size facts for project: CCONVERTION.
$2013-08-28T15:34:41.710+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: CSharpFrame.
$2013-08-28T15:34:42.771+01:00   getActivityFacts   WARNING error while getting activity facts for project: Castle_DynamicProxy.
$2013-08-28T15:34:42.772+01:00   getSizeFacts   WARNING error while getting size facts for project: Castle_DynamicProxy.
$2013-08-28T15:34:43.002+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Centreon.
$2013-08-28T15:34:44.120+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: ClosedXML.
$2013-08-28T15:34:44.122+01:00   getActivityFacts   WARNING error while getting activity facts for project: CloudBerry.
$2013-08-28T15:34:44.122+01:00   getSizeFacts   WARNING error while getting size facts for project: CloudBerry.
$2013-08-28T15:34:45.202+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: CompositeWPFContrib.
$2013-08-28T15:34:45.895+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Coopr.
$2013-08-28T15:34:46.447+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: CuteFlow.
$2013-08-28T15:34:46.494+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: DAV.
$2013-08-28T15:34:46.623+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: DCLab.
$2013-08-28T15:34:46.626+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: DDA_SoP.
$2013-08-28T15:34:46.848+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: DEoptim.
$2013-08-28T15:34:49.898+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/09
$2013-08-28T15:34:49.898+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/08
$2013-08-28T15:34:49.899+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/07
$2013-08-28T15:34:49.899+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/06
$2013-08-28T15:34:49.899+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/05
$2013-08-28T15:34:49.899+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/04
$2013-08-28T15:34:49.900+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/03
$2013-08-28T15:34:49.900+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/12
$2013-08-28T15:34:49.900+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/02
$2013-08-28T15:34:49.900+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/11
$2013-08-28T15:34:49.901+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/01
$2013-08-28T15:34:49.901+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/10
$2013-08-28T15:34:49.901+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/09
$2013-08-28T15:34:49.901+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/08
$2013-08-28T15:34:49.902+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/07
$2013-08-28T15:34:49.902+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/06
$2013-08-28T15:34:49.902+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/07
$2013-08-28T15:34:49.902+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2011/05
$2013-08-28T15:34:49.903+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/06
$2013-08-28T15:34:49.903+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/05
$2013-08-28T15:34:49.903+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/04
$2013-08-28T15:34:49.903+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/03
$2013-08-28T15:34:49.904+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/02
$2013-08-28T15:34:49.904+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/12
$2013-08-28T15:34:49.904+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2013/01
$2013-08-28T15:34:49.905+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/11
$2013-08-28T15:34:49.905+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: DisCODe_project in year/month: 2012/10
$2013-08-28T15:34:50.176+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: DocProject.
$2013-08-28T15:34:50.178+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: DocSharePoint.
$2013-08-28T15:34:53.157+01:00   getActivityFacts   WARNING error while getting activity facts for project: ExcelDataReader.
$2013-08-28T15:34:53.157+01:00   getSizeFacts   WARNING error while getting size facts for project: ExcelDataReader.
$2013-08-28T15:34:53.576+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: FacebookToolkit.
$2013-08-28T15:34:53.578+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: FarseerPhysics.
$2013-08-28T15:34:53.660+01:00   getActivityFacts   WARNING error while getting activity facts for project: FasonExam.
$2013-08-28T15:34:53.661+01:00   getSizeFacts   WARNING error while getting size facts for project: FasonExam.
$2013-08-28T15:34:55.308+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Foswiki.
$2013-08-28T15:34:55.411+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: FreeCRM.
$2013-08-28T15:34:55.615+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/07
$2013-08-28T15:34:55.615+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/06
$2013-08-28T15:34:55.616+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/05
$2013-08-28T15:34:55.616+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/04
$2013-08-28T15:34:55.616+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/03
$2013-08-28T15:34:55.616+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/02
$2013-08-28T15:34:55.616+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/12
$2013-08-28T15:34:55.617+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2013/01
$2013-08-28T15:34:55.617+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/11
$2013-08-28T15:34:55.617+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/10
$2013-08-28T15:34:55.617+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/09
$2013-08-28T15:34:55.617+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/08
$2013-08-28T15:34:55.617+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/07
$2013-08-28T15:34:55.618+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/06
$2013-08-28T15:34:55.618+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/05
$2013-08-28T15:34:55.618+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/04
$2013-08-28T15:34:55.618+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/03
$2013-08-28T15:34:55.618+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/02
$2013-08-28T15:34:55.619+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: FreeMat in year/month: 2012/01
$2013-08-28T15:34:55.886+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: FreeNMS.
$2013-08-28T15:34:56.754+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: GAR.
$2013-08-28T15:34:59.237+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: GetPaid.
$2013-08-28T15:34:59.240+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: GetSysinternals.
$2013-08-28T15:34:59.668+01:00   getActivityFacts   WARNING error while getting activity facts for project: Glenda.
$2013-08-28T15:34:59.669+01:00   getSizeFacts   WARNING error while getting size facts for project: Glenda.
$2013-08-28T15:35:00.987+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: GuiKs.
$2013-08-28T15:35:03.294+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: IWebCF.
$2013-08-28T15:35:03.296+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: IWebDotNetNuke.
$2013-08-28T15:35:03.699+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: InstrumentElement.
$2013-08-28T15:35:04.335+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: JClaim.
$2013-08-28T15:35:04.818+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: JWM.
$2013-08-28T15:35:04.821+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: JailBreak.
$2013-08-28T15:35:05.741+01:00   getActivityFacts   WARNING error while getting activity facts for project: JkDefrag.
$2013-08-28T15:35:05.741+01:00   getSizeFacts   WARNING error while getting size facts for project: JkDefrag.
$2013-08-28T15:35:05.743+01:00   getActivityFacts   WARNING error while getting activity facts for project: JobberBase.
$2013-08-28T15:35:05.743+01:00   getSizeFacts   WARNING error while getting size facts for project: JobberBase.
$2013-08-28T15:35:06.147+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: KPMuhurat.
$2013-08-28T15:35:06.218+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Kephra.
$2013-08-28T15:35:06.221+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: KeystrokeEsbNet.
$2013-08-28T15:35:06.223+01:00   getActivityFacts   WARNING error while getting activity facts for project: KiTTYssh.
$2013-08-28T15:35:06.224+01:00   getSizeFacts   WARNING error while getting size facts for project: KiTTYssh.
$2013-08-28T15:35:06.785+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Kiwix.
$2013-08-28T15:35:07.015+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: KumbiaPHP_framework.
$2013-08-28T15:35:07.306+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: L2Equal.
$2013-08-28T15:35:07.659+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: L2JCustom.
$2013-08-28T15:35:07.818+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: L2JIn-Flames.
$2013-08-28T15:35:07.823+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: L2JServerManager.
$2013-08-28T15:35:08.088+01:00   getActivityFacts   WARNING error while getting activity facts for project: L2Teon.
$2013-08-28T15:35:08.088+01:00   getSizeFacts   WARNING error while getting size facts for project: L2Teon.
$2013-08-28T15:35:08.153+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: L2_Prot.
$2013-08-28T15:35:08.665+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: LFAligner.
$2013-08-28T15:35:08.742+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: LUKS.
$2013-08-28T15:35:10.894+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: MDD.
$2013-08-28T15:35:10.897+01:00   getActivityFacts   WARNING error while getting activity facts for project: MEFContrib.
$2013-08-28T15:35:10.897+01:00   getSizeFacts   WARNING error while getting size facts for project: MEFContrib.
$2013-08-28T15:35:11.775+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: MacPorts.
$2013-08-28T15:35:12.314+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Mappa.
$2013-08-28T15:35:17.650+01:00   getActivityFacts   WARNING error while getting activity facts for project: NCoverExplorer.
$2013-08-28T15:35:17.651+01:00   getSizeFacts   WARNING error while getting size facts for project: NCoverExplorer.
$2013-08-28T15:35:18.312+01:00   getActivityFacts   WARNING error while getting activity facts for project: NLP_GATE.
$2013-08-28T15:35:18.312+01:00   getSizeFacts   WARNING error while getting size facts for project: NLP_GATE.
$2013-08-28T15:35:18.691+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: NPCBehaviorKit.
$2013-08-28T15:35:19.871+01:00   getActivityFacts   WARNING error while getting activity facts for project: NoScript.
$2013-08-28T15:35:19.871+01:00   getSizeFacts   WARNING error while getting size facts for project: NoScript.
$2013-08-28T15:35:19.961+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: NoseRub.
$2013-08-28T15:35:19.965+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: NuFW.
$2013-08-28T15:35:19.968+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: O2scl.
$2013-08-28T15:35:20.745+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OblivionReborn.
$2013-08-28T15:35:22.372+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OpenFileDownloadOpen.
$2013-08-28T15:35:22.489+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OpenFlashChart.
$2013-08-28T15:35:23.046+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OpenNetCommerce.
$2013-08-28T15:35:23.267+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OpenPhotoManager.
$2013-08-28T15:35:23.559+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OpenTrackMap.
$2013-08-28T15:35:24.492+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: OsiriX.
$2013-08-28T15:35:25.340+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: PXElator.
$2013-08-28T15:35:26.638+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Persian_ImpressCMS.
$2013-08-28T15:35:27.182+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: PingueCMS.
$2013-08-28T15:35:27.864+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: PortalApps.
$2013-08-28T15:35:27.868+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: PostgreSQLFr.
$2013-08-28T15:35:27.870+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: PowerShellCX.
$2013-08-28T15:35:28.672+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: ProjNET.
$2013-08-28T15:35:28.675+01:00   getActivityFacts   WARNING error while getting activity facts for project: ProjeLead.
$2013-08-28T15:35:28.676+01:00   getSizeFacts   WARNING error while getting size facts for project: ProjeLead.
$2013-08-28T15:35:32.533+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Rawr.
$2013-08-28T15:35:32.684+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Rcpp.
$2013-08-28T15:35:34.510+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SHFB.
$2013-08-28T15:35:35.416+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SMSTools.
$2013-08-28T15:35:35.784+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SPIP-Zone.
$2013-08-28T15:35:35.785+01:00   getActivityFacts   WARNING error while getting activity facts for project: SQLBuddy.
$2013-08-28T15:35:35.786+01:00   getSizeFacts   WARNING error while getting size facts for project: SQLBuddy.
$2013-08-28T15:35:35.902+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SVNAdmin.
$2013-08-28T15:35:36.403+01:00   getActivityFacts   WARNING error while getting activity facts for project: Sarka-SPIP.
$2013-08-28T15:35:36.404+01:00   getSizeFacts   WARNING error while getting size facts for project: Sarka-SPIP.
$2013-08-28T15:35:37.190+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: ServiceMon.
$2013-08-28T15:35:37.192+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Setun.
$2013-08-28T15:35:37.958+01:00   getActivityFacts   WARNING error while getting activity facts for project: SimForge.
$2013-08-28T15:35:37.959+01:00   getSizeFacts   WARNING error while getting size facts for project: SimForge.
$2013-08-28T15:35:38.216+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Simox.
$2013-08-28T15:35:38.332+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SimpleStateMachine.
$2013-08-28T15:35:38.879+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SkyDriveViewer.
$2013-08-28T15:35:39.243+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SmartDMS.
$2013-08-28T15:35:39.542+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Sobi2.
$2013-08-28T15:35:39.546+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SobiPro.
$2013-08-28T15:35:39.696+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SoyezCreateurs.
$2013-08-28T15:35:39.950+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SqlServerSamples.
$2013-08-28T15:35:39.952+01:00   getActivityFacts   WARNING error while getting activity facts for project: SqlTools.
$2013-08-28T15:35:39.953+01:00   getSizeFacts   WARNING error while getting size facts for project: SqlTools.
$2013-08-28T15:35:39.957+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SqueezeCenter.
$2013-08-28T15:35:40.196+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: StandaloneTracker.
$2013-08-28T15:35:40.197+01:00   getActivityFacts   WARNING error while getting activity facts for project: StanfordNER.
$2013-08-28T15:35:40.198+01:00   getSizeFacts   WARNING error while getting size facts for project: StanfordNER.
$2013-08-28T15:35:40.528+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: StyleCopForReSharper.
$2013-08-28T15:35:41.506+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: SystemWrapper.
$2013-08-28T15:35:41.509+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: TBCDB.
$2013-08-28T15:35:41.735+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: TMAPIX.
$2013-08-28T15:35:41.759+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: TTR.
$2013-08-28T15:35:42.266+01:00   getActivityFacts   WARNING error while getting activity facts for project: TeamLab.
$2013-08-28T15:35:42.266+01:00   getSizeFacts   WARNING error while getting size facts for project: TeamLab.
$2013-08-28T15:35:42.637+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Terminals.
$2013-08-28T15:35:43.892+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Topic-Maps.
$2013-08-28T15:35:44.188+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: TradeAnalytics.
$2013-08-28T15:35:44.557+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: TreeViewAdv.
$2013-08-28T15:35:44.747+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Tulip.
$2013-08-28T15:35:45.099+01:00   getActivityFacts   WARNING error while getting activity facts for project: Typolight.
$2013-08-28T15:35:45.100+01:00   getSizeFacts   WARNING error while getting size facts for project: Typolight.
$2013-08-28T15:35:45.353+01:00   getActivityFacts   WARNING error while getting activity facts for project: UltiDevWebBasedMP3Pl.
$2013-08-28T15:35:45.353+01:00   getSizeFacts   WARNING error while getting size facts for project: UltiDevWebBasedMP3Pl.
$2013-08-28T15:35:46.271+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: VSNS.
$2013-08-28T15:35:46.462+01:00   getActivityFacts   WARNING error while getting activity facts for project: Viper_OS.
$2013-08-28T15:35:46.462+01:00   getSizeFacts   WARNING error while getting size facts for project: Viper_OS.
$2013-08-28T15:35:46.465+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: Virastyar.
$2013-08-28T15:35:46.467+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: VirtualRouterManager.
$2013-08-28T15:35:46.470+01:00   mergeFactsForProjects   WARNING project excluded because its SVN repositories can include tags or branches: VirtualTreeview.
$2013-08-28T15:35:46.596+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/09
$2013-08-28T15:35:46.596+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/08
$2013-08-28T15:35:46.596+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/07
$2013-08-28T15:35:46.596+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/06
$2013-08-28T15:35:46.597+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/05
$2013-08-28T15:35:46.597+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/04
$2013-08-28T15:35:46.597+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/03
$2013-08-28T15:35:46.597+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2010/12
$2013-08-28T15:35:46.597+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/02
$2013-08-28T15:35:46.598+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2011/01
$2013-08-28T15:35:46.598+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2010/11
$2013-08-28T15:35:46.598+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2010/10
$2013-08-28T15:35:46.598+01:00   validateAndFilterSizeFacts   WARNING data excluded because lines of code count is below 0 for project: VisualEditor in year/month: 2010/09
