project,median monthly loc added or changed,median monthly contributors,median monthly commits,median monthly loc growth,median monthly % log growth,median yearly % loc growth
abiword,3617,6,67,923,1.001829721,1.045909844
ace,1003,7,48.5,215,1.000969022,1.00456633
acegisecurity,1848,2,37.5,235,1.006184247,1.084403184
ack,9,1,4,0,1.000508647,1.399857448
acpi,0,0,0,0,1,1
activemq,6076,5,73.5,3012,1.002994354,1.135909524
adblock-plus,334,1,23,5,1.000477662,0.959350031
adium,1601,4,46,15,1.000053593,0.948564583
aegirproject,1149,3,93.5,108,1.011506849,1.258787129
aforge,280,1,8.5,171,1.002796491,1.201343239
agavi,46,1,3,6,1.000323993,1.036649276
agilo-trac,1694,2,34,271,1.003994653,1.027619078
akregator,95,3,8,9,1.000117606,0.99649019
alfresco,41980,14,214,16272,1.010745526,1.06688154
alsa,374,4,15,112,1.001180825,1.087922006
amarok,10727,19.5,240,1856,1.017010975,1.222067445
amavisd-new,0,0,0,0,1,1
amule,1321,1,29,88,1.000385963,1.009677833
android,1025873,164,3881.5,147940,1.015535372,1.316777771
android-scripting,0,0,0,0,1,1
ankhsvn,998,2,36,221,1.003026864,1.082700031
ant,592,3,27,205,1.002296086,1.039943786
antlr,5191,1,49,350,1.009036763,1.012548093
apache,19587,15,264.5,4972,1.003217104,1.066154161
apache_zeta_components,528,2,18.5,65,1.004003032,1.075332377
apache-continuum,1763,3.5,32,362,1.000555328,1.101269927
apc,68,2,8,19,1.001224114,1.163389864
apt,1503,3,49.5,48,1.000569554,1.090645256
aptana,127999,8,370.5,11847,1.016801282,1.356153164
aptitude,865,1,34.5,20,1.000039881,1.001734046
ArcEmu,10557,4,65,92,1.000199372,1.044605359
archlinux,2350,11,131.5,794,1.015475369,1.500160887
archlinux-packages,13904,25,291,-256,0.996555625,0.942116895
ardour,407,3,18,183,1.000953813,1.041643888
arduino,1170,2,16,120,1.000820067,1.178128609
argouml,2697,6,78,749,1.00283158,1.060495702
aria2,2611,1,59.5,748,1.011316784,1.113338369
asdf,0,0,0,0,1,1.034521145
aspell,0,0,0,0,1,1.000432074
aspnet-mvc,15872,9,88.5,5976,1.018598539,1.181360757
asterisk,23759,19.5,192,3854,1.010310242,1.245857208
auctex,26,1,4,9,1.00132516,1.032629773
audacious,4287,5.5,116,0,1,1.078634561
audacity,938,6,39.5,253,1.003786656,1.105755949
aur,141,2,15.5,9,1.001386139,1.021386139
autoconf,117,2.5,8.5,37,1.001187088,1.02952191
autofac,1936,2,17,340,1.016958471,1.549357123
automake,1631,3,57.5,329,1.003398675,1.091671117
avahi,2,1,1,0,1.000068191,1.003362693
avidemux,613,2,16,58,1.001031908,1.271363931
awesome,448,5.5,33.5,68,1.003554999,1.064141318
awstats,21,1,2,2,1.000866326,1.077015691
axis-java,0,0,0,0,1,1.006984668
axis2,2103,6.5,43.5,906,1.004669719,1.060386428
bacula,3773,4,100.5,1100,1.007234978,1.200682321
banshee,3391,9,90.5,932,1.007688155,1.300862814
bash,0,0,0,0,1,1.010227491
bash-completion,24,2,5,1,1,1.119408369
bazaar,75869,16,416,1374,1.014049449,1.299483193
beagle,0,0,0,0,1.000173174,1.180562241
binutils,17397,23,189,8060,1.00415216,1.070920075
bison,514,2,20,11,1.000875676,1.048777576
bitlbee,477,2,18.5,30,1.000699295,1.030686332
bittorrent,0,0,0,0,1,1
blender,25726,27.5,517.5,6575,1.009378886,1.160959153
blueprintcss,0,0,0,0,1,1.111173979
bluez,4157,14.5,147,1351,1.007327116,1.167384646
boinc,5765,5,165.5,1468,1.008092251,1.252236357
boo,1314,2,25,224,1.001661389,1.05066719
boost,239496,40,574.5,82920,1.011774004,1.538660451
bootstrap-from-twitter,7319,10,167,358,1.019312988,3.414123877
bugzilla,509,7,34,246,1.004349133,1.072679714
buildbot,2752,11,77,526,1.01267854,1.179431478
bulletphysics,3330,1,21,416,1.001152776,1.10550735
busybox,1487,7,72.5,320,1.002429011,1.054005221
byteflow,197,3,12,24,1.003110233,1.483754269
bzflag,1756,5,52,152,1.003573426,1.170399199
cabal,684,4.5,28.5,200,1.006603215,1.082173821
cacti,21794,4,130,9338,1.004866542,1.271662706
cairo,2364,8,87,1031,1.012204688,1.37493666
cakephp,10708,12,552,1834,1.0074096,1.644111909
cakephp-debugkit,56,2,12,4,1.001009465,1.056420554
calligra,61977,31.5,583.5,7812,1.007348009,1.073783634
camel,14692,9,261,9013,1.018795467,1.552253955
camino,272,2,16.5,103,1.002493469,1.1109437
capistrano,56,3,6,12,1.002746649,1.076432871
castleproject,52048,7,205.5,6674,1.009308402,1.8060722
catalyst,617,10.5,42.5,30,1.000435967,1.091188218
cdexos,0,0,0,0,1,1.000050398
cdrdao,0,0,0,0,1,1.000049525
cdt,14137,15,174.5,6925,1.011827661,1.214876887
cecil,111,1,7,26,1.000699078,1.014216259
CEGUI,2913,2,38,300,1.002596028,1.064032587
celestia,1058,3,12,295,1.004008056,1.057881998
chatzilla,17,2,4,0,1.000682606,1.028668333
checkstyle,78,1,6,27,1.000806021,1.020591755
cheetah,0,0,0,0,1,1.005117864
cherokee,2048,3,99,924,1.00768122,1.173886933
cherrypy,135,2,10,23,1.005218355,1.103569339
chrome,373890,219.5,2568.5,89218,1.021289022,1.229963408
cia,0,0,0,0,1,1.001050886
ckeditor,3227,6,115.5,47,1.004257974,127.2192271
clamav,38431,5,146,674,1.004017714,1.254467356
clamwin,0,0,0,0,1,1.057929222
clang,25414,32.5,769.5,10413,1.039690649,1.807730369
claws-mail,0,0,0,0,1,1.000023034
clementine-player,6308,5,135,2204,1.023420674,1.2605465
clisp,5553,2,162,645,1.001624369,1.051372638
clojure,656,6,25,367,1.007377111,1.255985398
CloudStack,136806,21,589,9389,1.01434754,1.566032659
cmake,7462,12.5,334,2313,1.006278505,1.123991285
cobertura,0,0,0,0,1,1.027945006
cocoon,1041,3,31.5,664,1.001421594,1.087468188
cocos2d-iphone,4904,3,80,762,1.010076903,1.239417702
codeblocks,9706,5.5,58,2473,1.006673556,1.172256855
codeconform,0,0,0,0,1,1
CodeIgniter,273,3,33,32,1.000860839,1.035296527
coldbox,7831,1,34.5,408,1.002725514,1.372590537
colloquy,554,2,16.5,91,1.002786822,1.235526128
com,0,0,0,0,1,1.128454842
commons-beanutils,0,0,0,0,1,1
commons-cli,0,0,0,0,1,1.001648982
commons-collections,44,1,6,0,1.000209817,1.00882556
commons-digester,3,1,2,0,1.000084654,1.047755447
commons-fileupload,0,0,0,0,1,1.011594439
commons-io,82,1,7.5,37,1.001231792,1.080096872
commons-lang,467,4,19.5,157,1.002179818,1.068411476
commons-logging,0,0,0,0,1,1.075551962
compass,1054,4,32,268,1.0290111,1.71752451
compiz,10814,6,203,451,1.005877124,1.094366097
