rascal>obtainProjectDataFromOhloh(["automake",
"eclipse-wtp",
"cvs",
"gentoo",
"nhibernate",
"android",
"rubygems",
"joomla",
"nunit",
"qt",
"mozilla-addons",
"bind",
"doxygen",
"valgrind",
"gzip",
"evince",
"blender",
"jquery-ui",
"xerces2-j",
"tcpdump",
"spamassassin",
"winmerge",
"nginx",
"irssi",
"k3b",
"flac",
"prototype",
"rake",
"gedit",
"jetty",
"lighttpd",
"zsh",
"bittorrent",
"mutt",
"openvpn",
"libreoffice",
"glib",
"adium",
"clamav",
"pear",
"boost",
"zend_framework",
"konqueror",
"mono",
"ankhsvn",
"cmake",
"scriptaculous",
"fuse",
"udev",
"gettext",
"ibus-cloud-pinyin",
"libtool",
"graphviz",
"greasemonkey",
"memtest86plus",
"dpkg",
"vuze",
"freebsd",
"nautilus",
"hudson",
"xchat",
"fedora-packages",
"jboss",
"ghostscript",
"dia",
"xampp",
"network-manager",
"findbugs",
"gparted",
"vaadin",
"zxing",
"transmission",
"libvorbis",
"smarty",
"kate",
"bazaar",
"xdebug",
"totem",
"libpng",
"netcat",
"commons-collections",
"aspnet-mvc",
"yslow",
"gwt",
"checkstyle",
"gstreamer",
"openldap",
"smart",
"gawk",
"drupal-contributions",
"ipython",
"xterm",
"dbus",
"commons-logging",
"bugzilla",
"ibus",
"archlinux",
"rspec",
"freemind",
"iptables"]);>>>>>>>"iptables"]);
$2013-04-24T16:33:10.828+01:00   obtainMetaDataFromOhloh   Reading meta data for project automake from Ohloh, URL: |http://www.ohloh.net/projects/automake.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:13.374+01:00   obtainActivityFactsFromOhloh   Reading activity facts for project automake from Ohloh, URL: |http://www.ohloh.net/projects/automake/analyses/latest/activity_facts.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:17.121+01:00   obtainSizeFactsFromOhloh   Reading size facts for project automake from Ohloh, URL: |http://www.ohloh.net/projects/automake/analyses/latest/size_facts.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:22.379+01:00   obtainMetaDataFromOhloh   Reading meta data for project eclipse-wtp from Ohloh, URL: |http://www.ohloh.net/projects/eclipse-wtp.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:24.032+01:00   obtainActivityFactsFromOhloh   Reading activity facts for project eclipse-wtp from Ohloh, URL: |http://www.ohloh.net/projects/eclipse-wtp/analyses/latest/activity_facts.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:26.670+01:00   obtainSizeFactsFromOhloh   Reading size facts for project eclipse-wtp from Ohloh, URL: |http://www.ohloh.net/projects/eclipse-wtp/analyses/latest/size_facts.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:32.655+01:00   obtainMetaDataFromOhloh   Reading meta data for project cvs from Ohloh, URL: |http://www.ohloh.net/projects/cvs.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:34.562+01:00   obtainActivityFactsFromOhloh   Reading activity facts for project cvs from Ohloh, URL: |http://www.ohloh.net/projects/cvs/analyses/latest/activity_facts.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:38.659+01:00   obtainSizeFactsFromOhloh   Reading size facts for project cvs from Ohloh, URL: |http://www.ohloh.net/projects/cvs/analyses/latest/size_facts.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
$2013-04-24T16:33:43.256+01:00   obtainMetaDataFromOhloh   Reading meta data for project gentoo from Ohloh, URL: |http://www.ohloh.net/projects/gentoo.xml?api_key=CByX8vvUOWsAmCKs75PQqQ|
